url,status,bytes,challenge,content_type,title,raw_file,text_file,error
https://indiahikes.com/nafran-valley-trek,200,2108615,no,text/html; charset=utf-8,Nafran Valley Trek 2026 | Kashmir’s Hidden Alpine Valley,data/full/raw/nafran-valley-trek-51c7aa66.html,data/full/text/nafran-valley-trek-51c7aa66.txt,
https://indiahikes.com/nag-tibba,200,1790723,no,text/html; charset=utf-8,Nag Tibba Trek 2026 | The Best Beginner Weekend Summit,data/full/raw/nag-tibba-05da2e94.html,data/full/text/nag-tibba-05da2e94.txt,
https://indiahikes.com/pangarchulla,200,1873625,no,text/html; charset=utf-8,Pangarchulla Trek 2026 | India’s Thrilling Summit Challenge,data/full/raw/pangarchulla-184239c4.html,data/full/text/pangarchulla-184239c4.txt,
https://indiahikes.com/pangarchulla-peak-trek,200,1873625,no,text/html; charset=utf-8,Pangarchulla Trek 2026 | India’s Thrilling Summit Challenge,data/full/raw/pangarchulla-peak-trek-d33f7f7f.html,data/full/text/pangarchulla-peak-trek-d33f7f7f.txt,
https://indiahikes.com/pench-mowgli-trek,200,2069178,no,text/html; charset=utf-8,Pench Tiger Trail 2026 | Madhya Pradesh’s Treasured Forest Trek,data/full/raw/pench-mowgli-trek-87d20c94.html,data/full/text/pench-mowgli-trek-87d20c94.txt,
https://indiahikes.com/phulara-ridge-trek,200,2063095,no,text/html; charset=utf-8,Phulara Ridge Trek 2026 | India’s Best Ridge Walk,data/full/raw/phulara-ridge-trek-a8d1c103.html,data/full/text/phulara-ridge-trek-a8d1c103.txt,
https://indiahikes.com/pin-bhaba-pass-trek,200,2223644,no,text/html; charset=utf-8,Pin Bhaba Pass Trek 2026 | India’s Most Dramatic Pass-Crossing,data/full/raw/pin-bhaba-pass-trek-785a59d8.html,data/full/text/pin-bhaba-pass-trek-785a59d8.txt,
https://indiahikes.com/pir-panjal-lakes-trek,200,2068815,no,text/html; charset=utf-8,Pir Panjal Lakes Trek 2026 | A Remote Himalayan Traverse,data/full/raw/pir-panjal-lakes-trek-13635182.html,data/full/text/pir-panjal-lakes-trek-13635182.txt,
https://indiahikes.com/ranthan-kharak-trek,200,2186427,no,text/html; charset=utf-8,Ranthan Kharak Trek 2026 | India’s Best Rhododendron Trek,data/full/raw/ranthan-kharak-trek-3845da7e.html,data/full/text/ranthan-kharak-trek-3845da7e.txt,
https://indiahikes.com/rupin-pass,200,2220306,no,text/html; charset=utf-8,Rupin Pass Trek 2026 | India’s Most Sought-after Pass-Crossing,data/full/raw/rupin-pass-ca228db3.html,data/full/text/rupin-pass-ca228db3.txt,
https://indiahikes.com/sandakphu-phalut,200,2319526,no,text/html; charset=utf-8,Sandakphu-Phalut Trek 2026 | Best views of Everest-Kanchenjunga Ranges,data/full/raw/sandakphu-phalut-af2f5a42.html,data/full/text/sandakphu-phalut-af2f5a42.txt,
